"0_Код";"1_Наименование рынка";"1_Форма собственности";"1_Управляющая компания";"1_Юридический адрес Управляющей компании";"1_Адрес рынка";"1_Вид рынка"
"34";"Калужская с/х ярмарка";"ООО";"«Калужская сельскохозяйственная ярмарка»";"107031 г. Москва, 
ул. Кузнецкий мост, д.7";"Пересечение ул. Профсоюзной и Новоясеневского пр-та.";"Специализированный (сельскохозяйственный)"
"35";"С\Х рынок Теплый стан";"ЗАО";"«СТРОЙТЕХИНВЕСТ»";"117465 г. Москва, 
ул. Теплый Стан, вл. 1 Б, стр.3";"Ул. Теплый Стан, вл.1 Б, стр.1-7";"Специализированный (сельскохозяйственный)"
"36";"Карен";"ООО";"«Торговая компания - КАРЕН»";"117292, Москва, 
ул. Профсоюзная, д. 4, корп. 4";"Новоясеневский проспект, вл. 1";"Специализированный (сельскохозяйственный)"
"37";"Черемушкинский";"ООО";"«ЧЕРЕМУШКИНСКИЙ РЫНОК»";"117261, г. Москва, 
Ломоносовский проспект, д.1/64";"Ул. Вавилова, вл. 64/1";"Специализированный (сельскохозяйственный)"
"38";"Дорогомиловский";"ООО";"«НОВЫЕ БИЗНЕС СИСТЕМЫ И ТЕХНОЛОГИИ»";"121059 г. Москва, 
ул. Можайский Вал, д. 10";"Ул. Можайский Вал, д. 10";"Специализированный (сельскохозяйственный)"
"39";"Багратионовский";"ООО";"«НОВЫЕ БИЗНЕС СИСТЕМЫ И ТЕХНОЛОГИИ»";"121059 г. Москва, 
ул. Можайский Вал, д. 10";"Ул. Барклая, вл.10 (д.10)";"Специализированный (сельскохозяйственный)"
"40";"Кунцевский";"ОАО";"«Кунцевский рынок»";"121354 г.Москва, 
ул. Маршала Неделина, д.19";"Ул. Маршала Неделина, вл. 19";"Специализированный (сельскохозяйственный)"
"41";"ТЦ Ново-переделкино";"ООО";"«ТИМАЛЪ»";"119634 г.Москва, 
Боровское шоссе, д. 51, стр.1";"Боровское шоссе, вл. 51";"Специализированный (сельскохозяйственный)"
"42";"Солневский";"ООО";"«Сигма-ХХI век»";"121165 г. Москва, 
ул. Студенческая, д.31, стр. 1";"Ул. Щорса, вл. 5Б";"Специализированный (сельскохозяйственный)"
"43";"Альмирал";"ООО";"Предприятие «Альмирал»";"119571 г. Москва, 
проспект Вернадского, д. 86Б, стр. 1";"Проспект Вернадского, в районе станции метро «Юго-Западная»";"Специализированный (сельскохозяйственный)"
"44";"ТК Матвеевский";"ООО";"Торговый комплекс ""Гесплей""";"117602, г.Москва, 
Мичуринский проспект д.4,кор.2";"Ул. Матвеевская, напротив вл.2";"Специализированный (сельскохозяйственный)"
"45";"Куркинский";"ООО";"""Аланис""";"МКАД 73 км, вл. 7, кор. 1";"МКАД 73 км, вл. 7, кор. 1";"Специализированный (сельскохозяйственный)"
"46";"Зеленоградский";"ООО";"«Зеленоградский рынок»";"124681 г.Москва, 
Зеленоград, ул.Ленина, д. 1";"Зеленоград, Крюковская площадь";"Специализированный (сельскохозяйственный)"
"47";"Зеленоградская управляющая компания";"ЗАО";"«Зеленоградская управляющая компания»";"124365 г.Москва, 
Зеленоград, корп.1649, к.Н.П.4/2";"Зеленоград, Крюковская площадь";"Специализированный (сельскохозяйственный)"
"48";"Зеленоградский рынок с ТЦ";"ООО";"«Зеленоградский рынок с торговым центром»";"124527 г.Москва, Зеленоград, корп. 1003, к.4, ГУП РЭУ-8";"Зеленоград, Крюковская площадь";"Специализированный (сельскохозяйственный)"
"49";"Магазин Ценральный";"МУП";"г. Троицка ""Магазин ""Центральный""";"142190 г.Москва, Троицк, 
пл. Академика Верещагина, д.1";"Троицк, Октябрьский пр-т, д.16";"Универсальный"
"50";"ТК Саларьево";"ОАО";"""Управляющая компания ""Центр торговли""";"142770 г.Москва, 
Ленинский район, дер. Николо-Хованское, зем.уч. № 96/1";"Поселение Сосенское, Хованская промзона, земельный уч. № 96/1";"Универсальный"
"51";"Автомастер";"ООО";"""УК Автогранд""";"142784 г.Москва, 
Ленинский район, дер.Дудкино, торговый комплекс ""Строймастер"", офис К№Ф9";"Поселение Московский, дер. Саларьево";"Специализированный
(автозапчасти)"
